host,ip,port
221.209.122.49:34567,221.209.122.49,34567
114.250.81.113:34567,114.250.81.113,34567
115.58.131.159:34567,115.58.131.159,34567
123.145.3.0:8889,123.145.3.0,8889
221.209.122.108:34567,221.209.122.108,34567
180.108.43.144:8085,180.108.43.144,8085
114.250.91.196:34567,114.250.91.196,34567
1.203.110.158:34567,1.203.110.158,34567
114.228.67.214:5678,114.228.67.214,5678
113.89.247.127:18001,113.89.247.127,18001
https://27.42.227.68:8443,27.42.227.68,8443
140.240.83.244:34567,140.240.83.244,34567
121.239.172.8:34567,121.239.172.8,34567
183.158.63.191:10001,183.158.63.191,10001
183.158.63.191:10002,183.158.63.191,10002
111.166.29.200:18080,111.166.29.200,18080
183.164.46.157:34567,183.164.46.157,34567
171.221.12.211:8000,171.221.12.211,8000
101.64.139.194:8000,101.64.139.194,8000
112.92.91.139:8000,112.92.91.139,8000
59.39.252.146:8000,59.39.252.146,8000
27.8.182.106:34567,27.8.182.106,34567
https://www.friexam.in,20.235.81.224,443
https://friexam.in,20.235.81.224,443
182.148.3.66:8000,182.148.3.66,8000
183.158.63.191:10000,183.158.63.191,10000
110.82.30.177:8000,110.82.30.177,8000
125.114.253.124:8000,125.114.253.124,8000
123.235.107.170:8000,123.235.107.170,8000
59.174.162.112:8125,59.174.162.112,8125
47.97.87.120:5678,47.97.87.120,5678
27.191.80.176:8000,27.191.80.176,8000
74.48.95.244:8085,74.48.95.244,8085
221.217.52.231:5050,221.217.52.231,5050
123.153.200.12:8081,123.153.200.12,8081
171.213.173.212:7080,171.213.173.212,7080
118.112.55.48:82,118.112.55.48,82
123.112.22.245:8010,123.112.22.245,8010
114.240.223.18:8884,114.240.223.18,8884
220.184.26.247:10002,220.184.26.247,10002
139.208.29.212:8888,139.208.29.212,8888
59.173.55.117:9000,59.173.55.117,9000
https://122.231.210.119:9001,122.231.210.119,9001
60.166.70.184:34567,60.166.70.184,34567
119.100.145.97:8010,119.100.145.97,8010
